ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
EP222015,             SANDRA,20151123,1200,  , LO,10.9N,100.5W,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151123,1800,  , TD,10.8N,102.0W,30,1005,0,0,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151124,0,  , TS,10.8N,103.3W,35,1004,50,0,0,60,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151124,600,  , TS,10.9N,104.4W,40,1002,50,0,0,60,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151124,1200,  , TS,11.2N,105.5W,45,1000,50,30,0,60,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151124,1800,  , TS,11.5N,106.6W,50,999,50,30,0,60,20,0,0,20,0,0,0,0
EP222015,             SANDRA,20151125,0,  , TS,11.8N,107.6W,60,996,50,30,20,60,30,20,0,30,0,0,0,0
EP222015,             SANDRA,20151125,600,  , HU,12.1N,108.5W,70,989,50,30,30,60,30,20,0,30,15,0,0,15
EP222015,             SANDRA,20151125,1200,  , HU,12.3N,109.3W,85,976,60,40,30,70,30,20,20,30,20,10,10,20
EP222015,             SANDRA,20151125,1800,  , HU,12.7N,109.7W,95,967,70,50,40,80,30,20,20,30,20,15,10,20
EP222015,             SANDRA,20151126,0,  , HU,13.3N,110.2W,110,957,80,70,50,80,40,30,20,30,20,15,10,20
EP222015,             SANDRA,20151126,600,  , HU,14.1N,110.2W,130,934,100,100,60,90,50,40,30,40,30,25,15,25
EP222015,             SANDRA,20151126,1200,  , HU,15.2N,110.2W,120,943,120,110,60,90,50,40,30,40,30,25,15,25
EP222015,             SANDRA,20151126,1800,  , HU,16.3N,110.2W,115,947,140,130,60,90,60,40,30,40,30,25,15,25
EP222015,             SANDRA,20151127,0,  , HU,17.4N,109.8W,110,951,140,130,60,90,60,40,30,40,30,25,15,25
EP222015,             SANDRA,20151127,600,  , HU,18.5N,109.3W,95,963,140,120,60,90,60,40,30,30,30,25,15,20
EP222015,             SANDRA,20151127,1200,  , HU,19.3N,108.8W,85,970,140,120,50,70,60,40,30,30,30,25,15,20
EP222015,             SANDRA,20151127,1800,  , HU,20.0N,108.2W,75,978,130,110,40,60,60,40,20,30,35,25,10,20
EP222015,             SANDRA,20151128,0,  , TS,20.7N,108.8W,60,987,120,110,40,60,50,40,0,30,0,0,0,0
EP222015,             SANDRA,20151128,600,  , LO,21.2N,109.1W,40,994,100,60,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151128,1200,  , LO,21.7N,109.0W,35,1002,60,0,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151128,1800,  , LO,22.4N,108.7W,30,1007,0,0,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151129,0,  , LO,23.1N,108.3W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151129,600,  , LO,23.5N,107.9W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
EP222015,             SANDRA,20151129,1200,  , LO,24.2N,107.7W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL062015,               FRED,20150830,0,  , TD,11.6N,17.5W,30,1007,0,0,0,0,0,0,0,0,0,0,0,0
AL062015,               FRED,20150830,600,  , TS,12.2N,18.4W,35,1005,30,30,0,30,0,0,0,0,0,0,0,0
AL062015,               FRED,20150830,1200,  , TS,13.1N,19.5W,45,1004,50,50,0,30,0,0,0,0,0,0,0,0
AL062015,               FRED,20150830,1800,  , TS,14.0N,20.7W,55,998,60,60,30,50,30,30,10,20,0,0,0,0
AL062015,               FRED,20150831,0,  , HU,14.6N,21.7W,65,992,70,70,50,60,40,40,20,30,10,10,10,10
AL062015,               FRED,20150831,600,  , HU,15.3N,22.5W,70,989,70,70,50,60,40,40,20,30,15,10,10,15
AL062015,               FRED,20150831,1200,  , HU,16.1N,23.3W,75,986,70,70,50,60,40,40,20,30,15,10,10,15
AL062015,               FRED,20150831,1800,  , HU,16.8N,24.1W,70,988,70,70,50,60,40,40,20,30,15,10,10,15
AL062015,               FRED,20150901,0,  , HU,17.4N,24.9W,65,991,70,70,50,60,40,40,20,30,10,10,0,10
AL062015,               FRED,20150901,600,  , TS,17.8N,25.7W,60,994,70,70,40,60,30,30,0,30,0,0,0,0
AL062015,               FRED,20150901,1200,  , TS,18.2N,26.7W,50,1000,70,40,40,70,30,0,0,30,0,0,0,0
AL062015,               FRED,20150901,1800,  , TS,18.7N,27.6W,45,1003,70,40,40,70,0,0,0,0,0,0,0,0
